Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
2.0,2.0,800.0,33.0,490.0,1.0,6.0,1,1,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,399000.0
3.0,3.0,1082.0,20.0,552.0,1.0,4.0,1,1,2,1,10,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,329000.0
3.0,2.0,1050.0,9.0,36.0,1.0,27.0,1,1,2,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,550000.0
3.0,2.0,750.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,190000.0
2.0,1.0,500.0,20.0,462.0,1.0,12.0,1,3,1,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,125000.0
4.0,3.0,1539.0,15.0,192.0,2.0,12.0,1,1,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,538000.0
3.0,2.0,800.0,29.0,462.0,1.0,18.0,1,0,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,320000.0
3.0,2.0,800.0,29.0,462.0,1.0,18.0,1,0,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,303000.0
3.0,2.0,800.0,21.0,406.0,1.0,28.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,320000.0
2.0,2.0,550.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150000.0
3.0,2.0,904.0,20.0,462.0,1.0,12.0,0,0,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,270000.0
3.0,2.0,1000.0,20.0,462.0,1.0,12.0,1,1,1,0,6,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300000.0
1.0,1.0,622.0,38.0,1163.0,1.0,8.0,0,5,2,1,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,570000.0
3.0,2.0,800.0,18.0,182.0,1.0,20.0,1,0,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,420000.0
1.0,1.0,640.0,20.0,1050.0,1.0,8.0,1,1,2,0,11,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,348000.0
